"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"325","jordinsparksftchrisbrownNoAirmp",FALSE,0,NA,2017-12-11 19:31:19,FALSE,NA,"940303000349954050",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paul_kurlfink",109734,TRUE,FALSE,NA,NA
"326","RT to Send my boy Chris Paulto the NBA AllStar Game NBAVote retweettovote",FALSE,0,NA,2017-12-11 19:31:01,FALSE,NA,"940302924185505792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MGqYtBWD5rX89CU",187141,TRUE,FALSE,NA,NA
"327","RT to Send my boy Chris Paulto the NBA AllStar Game NBAVote retweettovote",FALSE,0,NA,2017-12-11 19:30:06,FALSE,NA,"940302691212898305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UmO9bTsVsmVAzPH",187141,TRUE,FALSE,NA,NA
"328","R",FALSE,0,"CHRIS_P_LANGAN",2017-12-11 19:30:04,TRUE,"940207893474959362","940302682761453568","598816699","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GodDanC",0,FALSE,FALSE,NA,NA
"329","Houston hasnt played a single meaningful possession without either Chris Paul or James Harden on the court during",FALSE,0,NA,2017-12-11 19:29:59,TRUE,NA,"940302662083457026",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eswaramalingam",0,FALSE,FALSE,NA,NA
"330","RT to Send my boy Chris Paulto the NBA AllStar Game NBAVote retweettovote",FALSE,0,NA,2017-12-11 19:29:26,FALSE,NA,"940302525101731844",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0dGXKHpngq1sYAl",187141,TRUE,FALSE,NA,NA
"331","Chris Paul still hasnt lost a game since he left the Clippers",FALSE,0,NA,2017-12-11 19:29:18,FALSE,NA,"940302489219366913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wendizzle__",436,TRUE,FALSE,NA,NA
"332","Lebron and Chris Paul are the Godparents of eachothers kids",FALSE,0,"ColinCowherd",2017-12-11 19:29:11,FALSE,NA,"940302463722237952","52529896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrBrianBlade",0,FALSE,FALSE,NA,NA
"333","Chris Paul still hasnt lost a game since he left the Clippers",FALSE,0,NA,2017-12-11 19:29:10,FALSE,NA,"940302457506320384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trillfiger",436,TRUE,FALSE,NA,NA
"334","point godChris Paul still hasnt lost a game since he left the Clippers",FALSE,0,NA,2017-12-11 19:29:02,FALSE,NA,"940302425403125760",NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","EminemOverrated",0,FALSE,FALSE,NA,NA
"335","Chris Paul still hasnt lost a game since he left the Clippers",FALSE,0,NA,2017-12-11 19:28:42,FALSE,NA,"940302338400636929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EminemOverrated",436,TRUE,FALSE,NA,NA
